Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD-100001,8/17/2023,8/18/2023,Second Class,CUST-00066,Aarav Gupta,Home Office,East,Odisha,Bhubaneswar,Furniture,Chairs,9,9863.87,0,88774.83,18655.4
ORD-100002,2/12/2024,2/18/2024,First Class,CUST-00319,Reyansh Mehta,Consumer,Central,Chhattisgarh,Raipur,Office Supplies,Pens,3,2201.34,0.2,5283.22,1276.63
ORD-100003,12/5/2024,12/10/2024,Second Class,CUST-01443,Aditya Verma,Consumer,East,West Bengal,Howrah,Office Supplies,Labels,14,484.94,0.15,5770.79,704.72
ORD-100004,4/21/2024,4/28/2024,Standard Class,CUST-01400,Aditya Shah,Consumer,North,Uttar Pradesh,Noida,Office Supplies,Pens,4,193.09,0.1,695.12,218.18
ORD-100005,8/4/2025,8/8/2025,First Class,CUST-00136,Reyansh Kapoor,Consumer,East,Assam,Guwahati,Office Supplies,Binders,13,1811.32,0.15,20015.09,5427.68
ORD-100006,3/21/2025,3/27/2025,Standard Class,CUST-00818,Diya Singh,Home Office,West,Gujarat,Surat,Furniture,Storage,10,1298.14,0.2,10385.12,2222.23
ORD-100007,4/7/2023,4/14/2023,Standard Class,CUST-01989,Kiara Sharma,Home Office,North,Punjab,Ludhiana,Technology,Printers,7,37543.7,0.3,183964.13,18963.9
ORD-100008,6/30/2024,7/7/2024,Same Day,CUST-01561,Sai Pillai,Consumer,East,West Bengal,Howrah,Office Supplies,Labels,12,561.84,0.1,6067.87,785.91
ORD-100009,11/5/2025,11/10/2025,Same Day,CUST-00230,Diya Rao,Home Office,South,Tamil Nadu,Coimbatore,Technology,Monitors,10,14038.78,0.15,119329.63,21621.23
ORD-100010,6/11/2023,6/12/2023,Standard Class,CUST-01787,Riya Malhotra,Home Office,West,Maharashtra,Nagpur,Technology,Laptops,9,19721.55,0,177493.95,21797.55
ORD-100011,2/16/2024,2/22/2024,Standard Class,CUST-01205,Kiara Singh,Corporate,East,Jharkhand,Ranchi,Office Supplies,Envelopes,-4,1843.32,0,7373.28,867.56
ORD-100012,5/1/2023,5/3/2023,Second Class,CUST-01808,Prisha Kapoor,Corporate,North,Delhi,Dwarka,Furniture,Tables,4,7869.9,0,31479.6,2936.18
ORD-100013,1/25/2024,1/26/2024,Standard Class,CUST-01492,Ananya Reddy,Home Office,North,Uttar Pradesh,Noida,Office Supplies,Labels,11,1379.09,0,15169.99,4429.6
ORD-100014,5/14/2025,5/16/2025,First Class,CUST-01713,Aarav Gupta,Corporate,East,Jharkhand,Ranchi,Technology,Phones,14,9385.48,0,131396.72,-18759.52
ORD-100015,9/21/2025,9/25/2025,Standard Class,CUST-01427,Kiara Das,Corporate,South,Andhra Pradesh,Visakhapatnam,Furniture,Chairs,13,15136.43,0.3,137741.51,4034.46
ORD-100016,5/5/2023,5/11/2023,Standard Class,CUST-00141,Riya Gupta,Home Office,East,West Bengal,Kolkata,Office Supplies,Envelopes,9,1830.48,0,16474.32,2076.45
ORD-100017,5/19/2024,5/24/2024,Standard Class,CUST-00644,Ayaan Kumar,Home Office,Central,Madhya Pradesh,Bhopal,Office Supplies,Envelopes,5,213.85,0.05,1015.79,341.51
ORD-100018,10/9/2024,10/16/2024,Standard Class,CUST-00715,Aditya Singh,Consumer,North,Delhi,Dwarka,Office Supplies,Envelopes,4,2897.58,0.1,10431.29,3111.31
ORD-100019,9/11/2024,9/16/2024,Standard Class,CUST-01239,Reyansh Mehta,Consumer,Central,Madhya Pradesh,Indore,Technology,Phones,2,14055.31,0,28110.62,2091.94
ORD-100020,31/13/2024,9/30/2025,Standard Class,CUST-00537,Sai Bose,Consumer,North,Delhi,Rohini,Office Supplies,Pens,13,2059.01,0,26767.13,5322.41
ORD-100021,6/4/2023,6/10/2023,Standard Class,CUST-01842,Vivaan Joshi,Home Office,South,Telangana,Hyderabad,Technology,Monitors,3,5930.7,0,17792.1,3092.16
ORD-100022,4/12/2025,4/17/2025,Standard Class,CUST-00844,Ayaan Kumar,Corporate,South,Tamil Nadu,Chennai,Technology,Laptops,12,2030.29,0.15,20708.96,5743.22
ORD-100023,3/21/2023,3/28/2023,Standard Class,CUST-01352,Reyansh Chopra,Corporate,West,Gujarat,Ahmedabad,Technology,Printers,13,12015.71,0.05,148394.02,31998.29
ORD-100024,7/25/2024,7/28/2024,Standard Class,CUST-00890,Diya Mehta,Corporate,Central,Chhattisgarh,Raipur,Technology,Phones,5,14371.14,0,71855.7,12935.25
ORD-100025,1/25/2024,1/28/2024,Second Class,CUST-00144,Ananya Shah,Home Office,North,Uttar Pradesh,Lucknow,Office Supplies,Envelopes,12,1649.2,0.05,18800.88,2442.44
ORD-100026,9/7/2024,9/12/2024,Standard Class,CUST-01849,Sai Shah,Home Office,East,Jharkhand,Ranchi,Office Supplies,Pens,7,2909.36,0.2,16292.42,4713.17
ORD-100027,9/14/2024,9/17/2024,Standard Class,CUST-00582,Anika Shah,Home Office,South,Andhra Pradesh,Visakhapatnam,Office Supplies,Labels,8,2819.71,0,22557.68,7254.63
ORD-100028,9/27/2024,9/29/2024,First Class,CUST-01290,Prisha Patel,Home Office,South,Tamil Nadu,Chennai,Furniture,Sofas,2,15269.18,0.3,21376.85,4368.89
ORD-100029,10/30/2023,11/5/2023,Standard Class,CUST-01642,Myra Pillai,Corporate,North,Delhi,Dwarka,Furniture,Storage,4,2941.52,0,11766.08,696.51
ORD-100030,6/25/2025,6/30/2025,Standard Class,CUST-01068,Aarohi Singh,Corporate,Central,Chhattisgarh,Raipur,Technology,Printers,4,2512.61,0.1,9045.4,1187.96
ORD-100031,7/10/2024,7/13/2024,Second Class,CUST-00835,Ananya Menon,Corporate,East,Assam,Guwahati,Furniture,Tables,12,10205.99,0.05,116348.29,8641.16
ORD-100032,3/8/2025,3/15/2025,First Class,CUST-01505,Kiara Shah,Corporate,Central,Madhya Pradesh,Indore,Office Supplies,Pens,14,2489.64,0.2,27883.97,4916.6
ORD-100033,9/21/2025,9/22/2025,Same Day,CUST-01213,Prisha Sharma,Consumer,West,Rajasthan,Jodhpur,Technology,Printers,9,13001.59,0,117014.31,21726.52
ORD-100034,1/8/2024,1/9/2024,First Class,CUST-01704,Saanvi Kumar,Corporate,East,Jharkhand,Ranchi,Furniture,Bookcases,7,4210.37,0.1,26525.33,4786.21
ORD-100035,4/17/2023,4/20/2023,First Class,CUST-00970,Vihaan Kapoor,Consumer,South,Karnataka,Bengaluru,Technology,Laptops,10,3817.5,0,38175,11327.35
ORD-100036,1/25/2025,1/27/2025,Standard Class,CUST-01465,Reyansh Gupta,Home Office,Central,Madhya Pradesh,Bhopal,Technology,Phones,5,34864.89,0.2,139459.56,13901.18
ORD-100037,9/9/2024,9/16/2024,Standard Class,CUST-01004,Vihaan Malhotra,Home Office,Central,Madhya Pradesh,Bhopal,Office Supplies,Labels,9,36.46,0.15,278.92,-37.84
ORD-100038,11/10/2023,11/14/2023,Standard Class,CUST-00503,Aditya Kumar,Corporate,South,Telangana,Hyderabad,Office Supplies,Envelopes,14,2126.43,0.1,26793.02,7417.16
ORD-100039,2/15/2025,2/18/2025,First Class,CUST-01437,Krishna Menon,Corporate,North,Uttar Pradesh,Noida,Furniture,Tables,6,19464.74,0.1,,3658.75
ORD-100040,4/12/2025,4/16/2025,First Class,CUST-01417,Ayaan Rao,Corporate,Central,Madhya Pradesh,Indore,Office Supplies,Labels,2,1088.23,0.1,1958.81,217.99
ORD-100041,12/5/2024,12/9/2024,Standard Class,CUST-01522,Kiara Nair,Corporate,Central,Chhattisgarh,Raipur,Technology,Accessories,2,38908.1,0.05,73925.39,15215.66
ORD-100042,12/10/2025,12/15/2025,Standard Class,CUST-01996,Vivaan Menon,Consumer,East,West Bengal,Kolkata,Office Supplies,Pens,12,1006.08,0,12072.96,1173.02
ORD-100043,10/2/2025,10/3/2025,Standard Class,CUST-00979,Vihaan Gupta,Corporate,North,Uttarakhand,Dehradun,Office Supplies,Labels,1,946.73,0.1,852.06,142.98
ORD-100044,4/20/2023,4/22/2023,Second Class,CUST-00780,Myra Bose,Consumer,South,Telangana,Hyderabad,Furniture,Tables,7,18456.47,0.05,122735.53,18104.9
ORD-100045,5/4/2023,5/9/2023,Standard Class,CUST-00837,Myra Shah,Consumer,North,Punjab,Ludhiana,Furniture,Chairs,9,22270.55,0,200434.95,22938.37
ORD-100046,8/2/2024,8/8/2024,Second Class,CUST-01116,Ayaan Iyer,Home Office,West,Maharashtra,Nagpur,Furniture,Bookcases,13,3694.18,0.05,45623.12,7420.55
ORD-100047,12/6/2023,12/13/2023,Standard Class,CUST-01012,Myra Gupta,Home Office,East,Assam,Guwahati,Office Supplies,Labels,7,2287.14,0.1,14408.98,3336.33
ORD-100048,5/27/2024,5/28/2024,Standard Class,CUST-01335,Myra Kumar,Home Office,North,Punjab,Ludhiana,Technology,Accessories,13,34808.04,0,452504.52,78486.41
ORD-100049,10/4/2025,10/5/2025,Standard Class,CUST-01936,Aadhya Menon,Consumer,West,Rajasthan,Jodhpur,Office Supplies,Binders,12,1577.74,0.3,13253.02,2590.12
